DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
Karstification,is the,geologic process,,"Karstification is the geologic process of differential chemical and mechanical erosion by water on soluble bodies of rock, such as limestone, dolomite, gypsum, or salt, at or near the Earth ’ s surface."
karst,The term|describes,topography,,The term karst describes a distinctive topography that indicates dissolution (also called chemical solution) of underlying soluble rocks by surface water or ground water.
karst,applies to|The term,type of landscape,,"The term karst applies to a distinctive type of landscape that develops from the dissolving action of water on soluble bedrock, primarily limestone and marble but also dolostone, gypsum and halite."
Karst,is defined as a,terrain,,"Karst is defined as a terrain, generally underlain by limestone or dolomite, in which the topography is chiefly formed by the dissolving of rock, and which may be characterised by sinkholes, sinking streams, closed depressions, subterranean drainage and caves (Field 2002). underlain by limestone or dolomite"
Karst,is the term applied to,terrains,,"Karst is the term applied to terrains underlain by soluble rock: mainly limestone, dolomite and gypsum."
Clastic sediments,are an,,,"Clastic sediments are an important part of the mechanism for storage and transport of contaminants; indeed, solid contaminants can be considered as a form of clastic sediment."
epiphreatic zone,is the,,,The epiphreatic zone is the range of depths between the highest and lowest levels that the water table fluctuates between.
Specific karstic ablation,is the,,,Specific karstic ablation is the relationship between the volume of limestone taken out of the system and the surface area of the affected region.
Poljes,are an,karst,,"Poljes are an important component of karst, where, aside from the bottoms of major dolines, they are one of the rare formations that can support large-scale agriculture."
blind valley,is a,gorge,,A blind valley is a gorge that terminates abruptly at a point where the stream sinks.
Ghost rock karstification,is an,phenomenon,,"Ghost rock karstification is an intermediate phenomenon, between karstification stricto sensu and the alteration of fractured rock, for example like in granites, where the action of water occurs only as it filters in through fractures."
Dolines,are a,,,Dolines are a sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water.
unroofed caves,,,,"The shape of unroofed caves is the consequence of the type and shape of the cave and the development of the karst aquifer and its surface in various geological, geomorphological, climate, and hydrological conditions. various geological, geomorphological, climate, and hydrological conditions"
Karst waters,are an,,,"Karst waters are an essential part of the ecosystem, a natural source and a public and economic good."
lakes,,,,"In Slovenia, the formation of lakes on the majority of larger karst poljes is the consequence of the difference in the volumes of inflowing and outflowing water."
Karst poljes,are,,,Karst poljes are natural retainers of discharge surpluses and important regulators of water conditions in rivers in the lower parts of river basins.
closed depressions,,,,"The oldest explanation of formation of closed depressions on karstic surfaces is a sudden collapse (Cviji �, 1893), according to which the term � collapse doline � was coined."
Equipotential surfaces,are,,,"Equipotential surfaces are locations of equal hydraulic head, which can be measured at piezometers."
Collapse dolines,are,depressions,,Collapse dolines are large depressions that were formed with slow collapsing of roofs above larger underground cavities and afterwards with transformation of slopes.
Caves,are an,,,"Caves are an important part of both the terrestrial and aquatic ecosystems in karst terrains, but are not the only components."
bowlshaped doline,,,,"In instances where dissolution is the prevailing mechanism, a bowlshaped doline will probably form."
point-recharge doline,,,,The first type is a point-recharge doline which is strongly connected to outflow of surface streams into karst subsurface.
inception doline,,,,The third type is an inception doline that also originates from the centripetal convergence of water; this occurs inside a pre-existing hydrogeological structure and is triggered by a change of hydraulic conductivity due to lithological and structural factors.
active cave,,cave,,active cave - a cave which has a stream flowing in it.
aeolian calcarenite,,limestone,,aeolian calcarenite - a limestone formed on land by solution and redeposition of calcium carbonate in coastal dune sands containing a large proportion of calcareous sand from mollusc shells and other organic remains.
aragonite,,calcium carbonate,,"aragonite - a less common crystalline form of calcium carbonate than calcite, denser and orthorhombic."
bare karst,,karst,,bare karst - karst with much exposed bedrock.
bathyphreatic,,,,bathyphreatic - referring to water moving with some speed through downward looping passages in the phreatic zone.
bed,,layer,,bed - a depositional layer of sedimentary bedrock or. unconsolidated sediment.
bedding-grike,,slot in a karst rock outcrop,,"bedding-grike - a narrow, rectilinear slot in a karst rock outcrop as a result of solution along a bedding-plane. along a bedding-plane"
bedding plane,,surface,,"bedding plane - a surface separating two beds, usually planar. planar"
bedding-plane cave,,cavity,,bedding-plane cave - a cavity developed along a bedding-plane and elongate in cross-section as a result.
biospeleology,,study,,biospeleology - the scientific study of organisms living in caves.
blind shaft,,cave,,blind shaft - a vertical extension upwards from part of a cave but not reaching the surface; small in area in relation to its height.
blind valley,,valley,,blind valley - a valley that is closed abruptly at its lower end by a cliff or slope facing up the valley.
blowhole,,hole,,blowhole - a hole to the surface in the roof of a sea cave through which waves force air and water.
blowhole,,hole,,"blowhole - a hole in the ground through which air blows in and out strongly, sometimes audibly; common in the nullarbor plain."
branchwork,,system of underground streams,,branchwork - a dendritic system of underground streams or passages wherein branches join successively to form a major stream or passage.
flank-margin caves,,type of cave,,"The caves are the world ’ s largest known examples of “ flank-margin caves ”, a type of cave that develops in carbonate coastlines as a result of sea-water and freshwater mixing inside the coastline. coastlines sea-water freshwater"
Morphometry,is,measurement and analysis,,Morphometry is the measurement and analysis of form (shape).
dissolutional corridors,are,landforms,,"The outstanding landforms are dissolutional corridors (“ streets ”) in the limestone that follow major vertical fractures created by the doming (Brook & Ford, 1978)."
Paleokarst,is a,phenomenon,,"Paleokarst is a worldwide phenomenon that is found on all continents, including Antarctica, and in the geological record from the early Proterozoic to the Holocene."
Caves without roofs,are,paleokarst landform,,Caves without roofs are an important paleokarst landform which has only recently attracted scientific attention.
Paleokarst aquifers,,,,Paleokarst aquifers are important sources of water and can present a significant flooding hazard to underground mining operations. underground mining operations
Palynology,",",study of microscopic organic matter,,"Palynology, the study of microscopic organic matter known as palynomorphs (Traverse, 1988), offers enormous potential in karst research since it can provide important evidence about ancient environments."
Palynology,,,,"Palynology is an integral part of many archaeological investigations in caves, since it provides a picture of the flora close to the cave and thus enables environmental and climatic reconstruction."
Paragenesis,is the term|to describe,processes,,Paragenesis is the term introduced by Renault (1968) to describe the processes by which cave genesis within the phreatic zone is modified by influxes of sediment.
Network mazes,are,angular grids,,“ Network mazes ” are angular grids of intersecting fissures guided by fractures.
Spongework mazes,are,cavities,,"“ Spongework mazes ” are irregular cavities enlarged from primary pores, which interconnect in a three-dimensional array like the holes in a sponge. cavities"
blind valleys,known as,landforms,,"Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink, and they produce landforms known as blind valleys, because their valleys usually terminate abruptly in a cliff or steep slope."
pre-ponor retention,is a,water accumulation,,A pre-ponor retention is a temporary water accumulation in the surface depression just above the ponor. in the surface depression just above the ponor
Pseudokarstic caves,are,natural underground spaces,,"Pseudokarstic caves are natural underground spaces, large enough to enter and investigate, extending beyond daylight, and produced by some process other than dissolution."
Emanation,is,net radon production rate,,"Emanation is the net radon production rate in the rock walls of a cave, or in unconsolidated sediment within the cave, and ultimately depends on the concentration of uranium (which then decays to radium) in the material."
blanket,,dripstone,,"blanket: A thick layer of dripstone, not translucent, see also bacon; curtain; drapery."
blind valley,,valley,,blind valley: A valley that ends suddenly at the point where its stream disappears underground; some blind valleys have no present-day streams. See also half-blind valley; marginal polje.
blowhole,,hole,,blowhole: A hole on land near the shore through which air and water are forced by incoming waves.
blowhole,,hole,,"blowhole: A small hole in the surface of the Nullarbor Plain through which air blows in and out with observable force, sometimes audibly. * blowing cave. A cave out of which or into which a current of air flows intermittently."
blue hole,,emergence,,blue hole: A major emergence where water rises from below without great turbulence. See also boiling spring.
blue hole,,sinkhole,,blue hole: A drowned solution sinkhole.
bogaz,,,,bogaz: A long narrow chasm enlarged by solution of the limestone. See also corridor; struga; kanjon.
boiling spring,,spring,,boiling spring: A large turbulent spring. See also blue hole.
bone-breccia,,Cave breccia,,bone-breccia: Cave breccia including much bone. breccia
grape formation,,deposit of calcium carbonate,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
botryoid,,deposit of calcium carbonate,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
clusterite,,deposit of calcium carbonate,,"botryoid: A grapelike deposit of calcium carbonate generally found on walls of caves. Synonyms, clusterite; grape formation."
bourne,,stream,,bourne: Intermittent stream in a normally dry valley in chalk country.
boxwork,,thin blades,,boxwork: Network of thin blades of calcite or gypsum etched out in relief on the limestone walls and ceiling of a cave.
bridge,,rock span,,"bridge: In a cave, a residual rock span across a passage. See also natural bridge"
buried karst,,Karst topography,,buried karst: Karst topography buried by younger sediments. See also covered karst; paleokarst.
calcarenite,,Limestone or dolomite,,calcarenite: Limestone or dolomite composed of coral or shell sand or of grains derived from the disintegration and erosion of older limestones. Size of particles ranges from 1 / 16 to 2 millimeters.
lampenflora,"that is ,",green plants,moss|fern|algae,"The result is the so-called lampenflora, that is, green plants (generally algae, fern, moss) developing on cave walls or formations close to a light source."
Visitor capacity,is defined as,the number of visitors,,"Visitor capacity is defined as the number of visitors to a given cave over a given time period, which does not permanently change the environmental parameters beyond their natural fluctuation range."
Allogeneic waters,are defined as,stream flow,,Allogeneic waters are defined as stream flow derived from nonlocal sources. derived from nonlocal sources
Base level,refers to,the lowest level of master stream erosion|sea level,,Base level refers to sea level or the lowest level of master stream erosion.
cover-collapse sinkhole,is a subtype of,subsidence sinkhole,,A cover-collapse sinkhole is a subtype of a subsidence sinkhole.
suffosion dolines,are,depressions,,"According to European usage, suffosion dolines are small depressions usually only a few meters in diameter and depth."
sinkhole,is part of a,process,,"According to this concept, a sinkhole is part of a long-term process and it may have different forms and surface expressions at different times."
cave system,is a group of,several interconnected caves,,A cave system is a group of several interconnected caves explored separately and later joined by the discovery of interconnecting passages.
Hypogene speleogenesis,is defined as,formation of solution-enlarged permeability structures,,"Hypogene speleogenesis is defined as the formation of solution-enlarged permeability structures by water that recharges the cavernous zone from below, independent of recharge from the overlying or immediately adjacent surface (Ford, 2006; Klimchouk, 2007). water"
vertical through structures,known as|also termed,vertically extended collapse features,breccia pipes|collapse columns|geologic organs,"Fossil vertically extended collapse features known as breccia pipes, collapse columns, or geologic organs, and also termed vertical through structures, are a common by-product of hypogene speleogenesis in a variety of geological settings."
Speleogenesis,is a,,,Speleogenesis is a result of dissolution of soluble rocks by groundwater.
Speleothems,are,deposits,,"Speleothems are deposits of secondary minerals (such as calcite) that form on the ceilings, walls, and floors of caves."
Straw stalactites,are,hollow tubes,,"Straw stalactites are hollow tubes, about 5 mm in diameter, and are often very coarsely crystalline with the straw axis corresponding to the c-axis direction of the calcite crystals."
Helictites,are,stalactite-like form,,Helictites are an erratic stalactite-like form that occurs when seepage rates are too slow for complete drops to form.
Cave pearls,are,speleothem,,"Cave pearls are near-spherical, unattached speleothem hat form in pools agitated by water dripping from considerable heights."
dry valley,,valley,,dry valley - a valley without a surface stream channel.
dynamic phreas,,phreatic zone,,dynamic phreas - a phreatic zone or part of a phreatic zone where water moves fast with turbulence under hydrostatic pressure.
erosion,,wearing away,mechanical,"erosion - the wearing away of bedrock or sediment at the surface or in caves by mechanical and chemical actions of all moving agents, such as rivers, wind and glaciers."
exsurgence,,spring,,exsurgence - a spring fed only by percolation water.
fault,,fracture,,fault - a fracture separating two parts of a once continuous cock body with relative movement along the fault plane. along the fault plane
fault cave,,cave,,"fault cave - a cave developed along a fault or fault zone, either by movement of the fault or by preferential solution along it."
fault plane,,plane,,fault plane - a plane along which movement of a fault has taken place.
fissure,,crack,,fissure - an open crack in rock or soil.
flowstone,,deposit,,"flowstone - a deposit formed from thin films or trickles of water over floors or walls, usually of calcite. cf. travertine."
fluorometer,,instrument,,fluorometer - an instrument for measuring the fluorescence of water; used in water tracing and dye gauging.
glacier cave,,cave,,glacier cave - a cave formed within or beneath a glacier.
grike,,slot in a rock outcrop,,"grike - a deep, narrow, vertical or steeply inclined rectilinear slot in a rock outcrop as a result of solution along a joint."
gypsum flower,,deposit of gypsum,,gypsum flower - an elongated and curving deposit of gypsum on a cave surface.
half-blind valley,,blind valley,,half-blind valley - a blind valley which overflows its threshold when the streamsink cannot accept all the water at a time of flood.
half-tube,,recess,,"half-tube - a semi-eylindrical, elongate recess in a cave surface, often meandering or anastomosing."
dry valley,,valley,,dry valley: A valley that lacks a surface water channel; common in the chalk of southern England.
epiphreatic zone,,zone,,"epiphreas, epiphreatic zone: The zone in a cave system, immediately above the phreatic zone, affected morphologically and hydrologically by floods too large for the cave to absort at once."
epiphreas,,zone,,"epiphreas, epiphreatic zone: The zone in a cave system, immediately above the phreatic zone, affected morphologically and hydrologically by floods too large for the cave to absort at once."
estavelle,,,,"estavelle: An intermittent resurgence or exsurgence, active only in wet seasons. May act alternatively as a swallow hole and as a rising according to ground-water conditions."
exhumed karst,,Karst,,exhumed karst: Karst features reexposed by erosion from bene? th former covering strata.
fault cave,,cave,,fault cave: A cave developed along a fault or fault zone.
fissure cave,,cave,,fissure cave: A narrow vertical cave or cave passage along a fissure. Fissures widen out to become wells or shaft caves.
flattener,,cave passage,,"flattener: A cave passage, which though wide, is so low that movement is only possible in a prone position. See also crawl."
crawl,,cave passage,,"flattener: A cave passage, which though wide, is so low that movement is only possible in a prone position. See also crawl."
floe calcite,,calcium carbonate,,floe calcite: Very thin film of pure calcium carbonate floating on the surface of a subterranean pool of very calm water. thin film
flowstone,,Deposits,,"flowstone: Deposits of calcium carbonate, gypsum, and other mineral matter which have accumulated on the walls or floors of caves at places where water trickles or flows over the rock. See also dripstone."
fluviokarst,,karst,,fluviokarst: A predominantly karst landscape in which there is much evidence of past or present fluvial activity.
foiba,,vertical cavity,,foiba: A deep wide vertical cavity or the swallow point of a river at the beginning of its underground course.
foiba,,vertical shaft,,"foiba: A natural vertical shaft in soluble rock, tending toward cylindrical shape; it may or may not reach the surface. A dome pit."
fungling,,hill,,"fungling: Isolated limestone hill in alluvial plain, probably similar to mogote."
gallery,,horizontal passage,,"gallery: A rather large, nearly horizontal passage in a cave."
glaciokarst,,region,,glaciokarst: A glaciated limestone region possessing both glacial and karst characteristics.
glade,,depression,,"glade: An elongate depression, having steep sides, in which a generally flat floor is divided into small basins separated by low divides."
speleogen,,cave structure,,"speleogen: A secondary cave structure formed by dissolving, such as a dome pit or a scallop. cave"
speleology,,scientific study,,"speleology: The scientific study, exploration, and description of caves and related features."
speleothem,,mineral deposit,stalactite|stalagmite,"speleothem: A secondary mineral deposit formed in caves, such as stalactite or stalagmite. Synonym: cave formation."
Spitzkegelkarst,,karst topography,,Spitzkegelkarst: Tropical karst topography containing sharply pointed residual limestone hills. sharply pointed
splash cup,,,,splash cup: The shallow concavity in the top of a stalagmite.
spongework,,cavities,,spongework: A complex of irregular interconnecting cavities with intricate perforation of the rock. The cavities may be large or small.
spring,,discharge of water,,spring: Any natural discharge of water from rock or soil onto the surface of the land or into a body of surface water.
squeeze,,,,squeeze: A narrow passage or opening just passable with effort. Differs from flattener in that there is little spare space in any direction.
stagmalite,,,stalactite|stalagmite,stagmalite: A general term including stalactite and stalagmite. Superseded by dripstone.
stalactite,,,,"stalactite: A cylindrical or conical deposit of minerals, generally calcite, formed by dripping water, hanging from the roof of a cave, generally having a hollow tube at its center."
stalagmite,,,,"stalagmite: A deposit of calcium carbonate rising from the floor of a limestone cave, formed by precipitation from a bicarbonate solution through loss of CO2. cave"
steephead,,valley,,"steephead: A deeply cut valley, generally short, terminating at its upslope end in an amphitheater, at the foot of which a stream may emerge."
straw stalactite,,stalactite,,"straw stalactite: Thin tubular stalactite, generally less than a centimeter in diameter and of very great length; also called soda straw."
soda straw,,stalactite,,"straw stalactite: Thin tubular stalactite, generally less than a centimeter in diameter and of very great length; also called soda straw."
stream sink,,,,stream sink: Point at which a surface stream sinks into the ground.
streamtube,,,,"streamtube: A cave passage completely filled, or formerly filled, with fast-moving water and whose ceiling and walls normally possess scallops."
oulo - pholite,,deposit,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
cave flower,,deposit,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
gypsum flower,,deposit,,"cave flower: An elongate curved deposit of gypsum or epsomite on a cave wall in which growth occurs at the attached end. Synonyms, gypsum flower; oulo - pholite."
cave formation,,deposit,,"cave formation: Secondary mineral deposit formed by the accumulation, dripping, or flowing of water in a cave. See also speleothem."
cave group,,number of caves|cave systems,,"cave group: A number of caves or cave systems, not interconnected but geographically associated in some relief feature or particular geological outcrop. See also cave series."
cave guano,,,,"cave guano: Accumulations of dung in caves, generally from bats; in some places partially mineralized. in caves"
cave ice,,Ice,,cave ice: Ice formed in a cave by natural freezing of water. Loosely but incorrectly applied to calcium carbonate dripstone and flowstone. in a cave
cave-in,,,,cave-in: The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above.
cave marble,,deposit,,cave marble: Banded deposit of calcite or aragonite capable of taking a high polish. See also flowstone; onyx marble.
cave pearl,,concretion,,"cave pearl: Small concretion of calcite or aragonite formed by concentric precipitation around a nucleus. Synonyms, pisolite, pisolith."
pisolite,,concretion,,"cave pearl: Small concretion of calcite or aragonite formed by concentric precipitation around a nucleus. Synonyms, pisolite, pisolith."
pisolith,,concretion,,"cave pearl: Small concretion of calcite or aragonite formed by concentric precipitation around a nucleus. Synonyms, pisolite, pisolith."
cave series,,group of caves,,cave series: A group of caves of similar morphology in a particular district. See also cave group.
cave spring,,spring,,"cave spring: A spring rising in a cave, cave system."
cave spring,,,,"cave spring: An underground network of passages, chambers, or other cavities."
cavern,,cave,,"cavern: A cave, often used poetically or to connote larger-than-average size."
ceiling block,,block,,"ceiling block: Roughly cubical joint - bounded large block, which has fallen from the ceiling of a cave. See also cave breakdown; ceiling slab."
ceiling cavity,,concavity,,ceiling cavity: Solutional concavity in the ceiling of a cave. The orientation is determined by joints or a bedding plane.
ceiling meander,,,,ceiling meander: A winding upside-down channel in a cave ceiling.
ceiling slab,,piece of rock,,"ceiling slab, roof slab: A thin but extensive piece of rock that has fallen from the ceiling of a cave in roughly horizontal limestone. See also cave breakdown; ceiling block."
roof slab,,piece of rock,,"ceiling slab, roof slab: A thin but extensive piece of rock that has fallen from the ceiling of a cave in roughly horizontal limestone. See also cave breakdown; ceiling block."
spongework,,,,"spongework - a complex of irregular, interconnecting cavities intricately perforating the rock; the cavities may range from a few centimetres to more than a metre across."
spring,,,,spring - a natural flow of water from rock or soil onto the land surface or into a body of surface water.
stalactite,,a speleothem,,"stalactite - a speleothem hanging downwards from a roof or wall, of cylindrical or conical form, usually with a central hollow tube."
stalagmite,,a speleothem,,stalagmite - a speleothem projecting vertically upwards from a cave floor and formed by precipitation from drips.
steephead,,,,"steephead - a steep-sided valley in karst, generally short, ending abruptly upstream where a stream emerges or formerly did so."
straw,,stalactite,,"straw - a long, thin-walled tubular stalactite less than about 1em in diameter."
subcutaneous zone,,,,subcutaneous zone - the uppermost layers of rock below the soil on a karst. this zone is distinguished from lower zones by a higher porosity and storage capacity for water as a result of the presence of many solutionally enlarged fissures. on a karst
subjacent karst,,karst,,subjacent karst - karst developed in soluble beds underlying other rock formations; the surface mayor may not be affected by the karst development.
sump,,,,sump - a point in a cave passage when the water meets the roof.
swirlhole,,,,"swirlhole - a hole in rock in a streambed eroded by eddying water, with or without sand or pebble tools."
syngenetic karst,,karst,,syngenetic karst - karst developed in aeolian calcarenite when the evolution of karst features has taken place at the same time as the lithification of dune sand.
tafoni,,hollows,,tafoni - roughly hemispherical hollows weathered in rock either at the surface or in caves.
through cave,,a cave,,through cave - a cave which may be followed from entrance to exit along a stream course or along a passage which formerly carried a stream.
tower karst,,conekarst,,tower karst - conekarst in which the residual hills have very steep to overhanging lower slopes. there my be alluvial plains between the towers and flat-floored depressions within them.
tracer,,,,tracer - a material introduced into surface or underground water where it disappears or into soil to determine drainage interconnections and travel time.
