DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
tiankeng,A.1 Surface landform|A.1 Surface landform,collapse doline|tiankeng,"A tiankeng is a collapse doline at least 100 m long, wide and deep, and with perimeter walls that are close to vertical (Zhu and Waltham, 2006).",,,,,,is a,collapse doline,,,with perimeter walls that are close to vertical,,,,,"at least 100 m long , wide and deep",,,,,,,,,,,with,,,,,,,at least|wide|long|deep,,
cenotes,C. Geome|A.2 Underground landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|B.1 Movement|A.1 Surface landform,coastal karst belts|submerged cavities|water table|collapse doline|cenotes|collapse|depressions,"A particular type of collapse doline is the cenotes, open depressions in the coastal karst belts giving access to the water table and resulting from the collapse of the roof of submerged cavities.",,,,,,A particular type of|is the,collapse doline,,resulting from the collapse of the roof of submerged cavities,open depressions,giving access to the water table,in the coastal karst belts,,,,,,,,,,resulting from,,,,,giving access,in the,,,,,,,
Subsidence dolines,A.1 Surface landform|B.1 Movement|A.1 Surface landform,Subsidence dolines|subsiding|depressions,Subsidence dolines are closed depressions caused by the subsiding of an area.,,,,,,are,closed depressions,,caused by the subsiding of an area .,,,,,,,,,,,,,caused by the,,,,,,,,,,,,,
Intersection dolines,C. Geome|B.2 Loss|A.2 Underground landform|A.1 Surface landform|D.1 Abiotic|B.2 Loss,topographic surface|chemical erosion|cave system|Intersection dolines|sediments|lowering,"Intersection dolines are depressions formed when an old cave system, partially or totally filled with sediments, is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion.",,,,,,are,depressions,,"formed when an old cave system , partially or totally filled with sediments , is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion",,,,,,,,,,,,,formed when,,,,,,,,,,,,,
compound hollow,A.1 Surface landform|B.3 Addition,compound hollow|fusion,A compound hollow is a form that originated from the fusion of simpler forms.,,,,,,is a,form,,originated from the fusion of simpler forms,,,,,,,,,,,,,originated from,,,,,,,,,,,,,
polygenetic sink,B. Process|A.1 Surface landform|A.1 Surface landform|B.4 Transformation,morphogenetic process|polygenetic sink|closed depression|karst process,A polygenetic sink is a closed depression that clearly evolved through both the karst process and another morphogenetic process.,,,,,,is a,closed depression,,evolved through both the karst process and another morphogenetic process,,,,,,,,,,,,,evolved through,,,,,,,,,,,,,
collapse breccia,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|B.1 Movement|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,mass of rock|collapse breccia|solution breccia|dolomite|cave|collapse|limestone|roof|ledge,"collapse breccia: A mass of rock composed of angular to rounded fragments of limestone or dolomite that has formed as the result of the collapse of the roof of a cave, of an underlying cave, or of an overhanging ledge. See also solution breccia.",,,composed of angular to rounded fragments of limestone or dolomite,,,,mass of rock,,"has formed as the result of the collapse of the roof of a cave , of an underlying cave , or of an overhanging ledge",,,,,,,,,,,,,has formed as the result of,composed of,,,,,,,,,,,,
collapse sink,A.1 Surface landform|A.1 Surface landform|B.1 Movement|A.2 Underground landform|A.1 Surface landform|D.1 Abiotic,collapse sink|closed depression|collapse|cave|doline|roof,collapse sink: A closed depression formed by the collapse of tie roof of a cave. See also doline.,,,,,,,closed depression,,formed by the collapse of tie roof of a cave,closed,,,,,,,,,,,,formed by,,,,,,,,,,,,,
conduit,D.1 Abiotic|D.3 Property|A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic,stream course|hydrostatic pressure|conduit|siphon|water,conduit: A subterranean stream course filled completely with water and always under hydrostatic pressure. See also siphon.,,,,,,,stream course,filled completely with water and always under hydrostatic pressure,,,,subterranean,,,,,,,,,,,,,,,,,,,,,,,
cone karst,C. Geome|C. Geome|C. Geome|D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic,cone karst|karst topography|cockpit karst|depressions|hills|Kegelkarst|tropicr,"cone karst: A type of karst topography, common in the tropicr. characterized by star-shaped depressions at the feet of many steep-sided core-shaped hills. A variety of Kegelkarst. See also cockpit karst.",,,,,,,karst topography,,,characterized by star-shaped depressions,,at the feet of many steep-sided core-shaped hills|common in the tropicr,,,,,,,,,,,,,,,,at the feet of|common in,,,,,,,
constructive waterfall,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic,constructive waterfall|rimstone dam|surface stream|dam,constructive waterfall: A large rimstone dam on a surface stream. dam,,,rimstone,,,,dam,,,,,on a surface stream,,,large,,,,,,,,,,,,,on a,,,,,,,
conulite,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.2 Loss|D.1 Abiotic,conical depression|calcite lining|speleothem|cave|conulite|mud|water|calcite|erosion|depression,"conulite: A hollow, cone-shaped speleothem formed when a conical depression is drilled in cave mud by falling water. Subsequent erosion may remove the mud, isolating the calcite lining of the depression. calcite",,,,,,,speleothem,,"Subsequent erosion may remove the mud , isolating the calcite lining of the depression|formed when a conical depression is drilled in cave mud by falling water","hollow , cone-shaped",,,,,,,,,,,,,,,,,,,,,,,,,formed when
corridor,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,corridor|passage|cave,corridor: A fairly level and straight passage that links two or more rooms or chambers in a cave. in a cave,,,,,,,passage,,,level and straight,links two or more rooms or chambers in a cave,in a cave,,,,,,,,,,,,,,,,in a,,,,,,,
corridor,D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.4 Other|A.1 Surface landform|D.1 Abiotic,surface|zanjon|corridor|struga|land|bogaz|depressions,"corridor: Intersecting linear depressions on the surface of the land, related to joints or dikes. See also bogaz; struga; zanjon.",,,,,,,,,,Intersecting linear depressions,,on the surface of the land,,,,,,,,,,,,,,,,on the,,,,,,,
corrasion,B.4 Transformation|B. Process|B.2 Loss|B. Process|B.2 Loss,chemical action|corrasion|solution|corrosion|Erosion,corrosion: Erosion by solution or chemical action. See also corrasion.,,,,,,,Erosion,,by solution or chemical action,,,,,,,,,,,,,by,,,,,,,,,,,,,
corrosion,B.4 Transformation|B. Process|B.2 Loss|B. Process|B.2 Loss,chemical action|corrasion|solution|corrosion|Erosion,corrosion: Erosion by solution or chemical action. See also corrasion.,,,,,,,Erosion,,by solution or chemical action,,,,,,,,,,,,,by,,,,,,,,,,,,,
cove,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,limestone plateaus|karst valley|limestone|cove|plateaus,cove: Narrow steep-sided karst valley flanking limestone plateaus. limestone plateaus,,,,,,,karst valley,,,Narrow steep-sided,,flanking limestone plateaus,,,,,,,,,,,,,,,,,,,,,,,
covered karst :,C. Geome|C. Geome|D.1 Abiotic|A.1 Surface landform|C. Geome|D.1 Abiotic|D.1 Abiotic,naked karst|buried karst|solution features|karst features|covered karst|limestone|terrain,"covered karst: A terrain of karst features, usually subdued, resulting from the development of solution features in limestone covered by soil; contrasted with naked karst, which is soil free. See also buried karst.",,,"contrasted with naked karst , which is soil free",,,,terrain,,resulting from the development of solution features in limestone covered by soil,,,subdued,,,,,,,,,,resulting from,,,,,,,,,,,,,
crawl,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,meander niche|niche|crawl|crawlway|passage,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche.",,,,,,,passage,,,crescentic wall niche,,,,,that must be negotiated on hands and knees,,,,,,,,,,,,,,,,,,,,
crawlway,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,meander niche|niche|crawl|crawlway|passage,"crawl, crawlway: A cave passage that must be negotiated on hands and knees, crescentic wall niche. See meander niche.",,,,,,,passage,,,crescentic wall niche,,,,,that must be negotiated on hands and knees,,,,,,,,,,,,,,,,,,,,
crevice karst,C. Geome|D.3.1 Geolocation|D.1 Abiotic|C. Geome|B.4 Transformation|D.1 Abiotic|D.1 Abiotic,crevice karst|New Guinea|crevice system|lowland|solution|Crevices|rivers,crevice karst: An intricate irregular crevice system that has formed by solution widening of closely spaced joints. Crevices may be as much as 6 meters across and 20 meters deep. Especially well developed near rivers in lowland New Guinea.,,,,,,,,,has formed by solution widening of closely spaced joints,intricate irregular,,near rivers,in lowland New Guinea,,Crevices may be as much as 6 meters across and 20 meters deep,,,,,,,has formed by,,,,,,near,,,,,as much as,,
crust stone,D.1 Abiotic|D.3.1 Geolocation|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,crust stone|Kentucky caves|caves|crust|flowstone,crust stone: A fragile layer of flowstone covering portions of walls of caves; looks like a flaky crust. Found in some Kentucky caves.,,,,,A fragile layer of flowstone,,flowstone,,,looks like a flaky crust,,covering portions of walls of caves,Found in some Kentucky caves,,,,,,,,,,,,,looks like,,,,,Found in,,,,
crystal cave,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,crystal cave|crystals|cave,"crystal cave: A cave in which much of the surface of the roof, walls, and floor is covered with well-formed mineral crystals.",,,,"in which much of the surface of the roof , walls , and floor is covered with well-formed mineral crystals",,,cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal pool,A.3 Hydrological form|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|B.1 Movement,crystal pool|caves|pool|crystals|overflow,"crystal pool: In caves a pool, generally having little or no overflow, containing crystals.",,,,containing crystals,,,pool,,,,generally having little or no overflow,In caves,,,,,,,,,,,,containing,,,,In,,,,,,,
dead end,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,dead end|cul-de-sac|passage,"cul-de-sac, dead end: A subterranean passage having only one entry.",,,,,,,passage,,,having only one entry,,subterranean,,,,,,,,,,,,,,,,,,,,,,,
cul-de-sac,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,dead end|cul-de-sac|passage,"cul-de-sac, dead end: A subterranean passage having only one entry.",,,,,,,passage,,,having only one entry,,subterranean,,,,,,,,,,,,,,,,,,,,,,,
Dissolutional potholes,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic,Dissolutional potholes|stream beds|basins,"Dissolutional potholes are sharp-edged, rounded-interior basins in stream beds.",,,,,,are,basins,,,rounded-interior|sharp-edged,,in stream beds,,,,,,,,,,,,,,,,in,,,,,,,
Scallops,A.2 Underground landform|D.1 Abiotic,Scallops|hollows,Scallops are spoon-shaped hollows.,,,,,,are,spoon-shaped hollows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anastamose,D.2 Biotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.3 Property,veins of a leaf|interweaving channels|anastamose|caves|pattern,The term anastamose refers to a reticulate pattern (such as in the veins of a leaf); in caves it applies to a pattern of interweaving channels.,,,,,,refers to a|The term,reticulate pattern,,,pattern of interweaving channels|reticulate pattern,,in caves,,,,,,,,,,,,,,pattern of,,in,,,,,,,
Pendants,D.1 Abiotic|D.3 Property|A.2 Underground landform|D.1 Abiotic,passage ceilings|dimension|Pendants|forms,"Pendants are positive forms hanging from passage ceilings, typically B10 — 100 cm in dimension.",,,,,,are,positive forms,,,,,hanging from passage ceilings,,,typically B10 — 100 cm in dimension,,,,,,,,,,,,,hanging from,,,,,in dimension|typically,,
Cupolas,A.2 Underground landform|A.2 Underground landform,thermal caves|Cupolas,Cupolas are characteristic features of thermal caves.,,,,,,are,features of thermal caves,,,,,of thermal caves,,,,,,,,,,,,,,,,,,,,,,,
cutter,A.1 Surface landform|D.3 Property|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,cavernous karren|cross section|acidic soil|pinnacles|grike|cutter,"A cutter is a deep grike that has formed under an acidic soil cover, often with a complex curved cross section, some cavernous karren, and remnant rounded pinnacles.",,,,,,is a,grike,,,often with a complex curved cross section|some cavernous karren|remnant rounded pinnacles,,has formed under an acidic soil cover,,,,,,,,,,,,,,with a,,has formed under an,,,,,,,
sinkhole plains,C. Geome|A.1 Surface landform|D.1 Abiotic|C. Geome|D.1 Abiotic,sinkhole plains|closed depressions|surface streams|doline karst|landform,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.,,,,,,are known as,Regions where closed depressions are the dominant landform,not typically dissected by surface streams,,,,,,,,,,,,,,,,,,,,,,,,,,,
doline karst,C. Geome|A.1 Surface landform|D.1 Abiotic|C. Geome|D.1 Abiotic,sinkhole plains|closed depressions|surface streams|doline karst|landform,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.,,,,,,are known as,Regions where closed depressions are the dominant landform,not typically dissected by surface streams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves,C. Geome|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,conduit systems|fissures|Caves|cavities,"Caves are natural subterranean cavities, fissures, and fragments of conduit systems that are accessible to human exploration. subterranean",,,,,"natural subterranean cavities , fissures , and fragments of conduit systems",are,fragments of conduit systems|cavities|fissures,,,,are accessible to human exploration,subterranean,,,,,,,,,,,,,,,,,,,,,,,
Aragonite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property,Aragonite|calcite|crystals|twinned,"Aragonite is the metastable, orthorhombic polymorph of calcite and occurs as short to long prismatic (along c), acicular or tabular (chisel-shaped) crystals, often twinned.",,,,,,is,polymorph of calcite,,,"occurs as short to long prismatic ( along c ) , acicular or tabular ( chisel-shaped ) crystals , often twinned|orthorhombic",,,,,,,,,,,,,,,,occurs as,,,,,,,,,
wad,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,manganese oxides|composite mixtures|wad,"The term wad is frequently used as a field term for composite mixtures consisting mainly of manganese oxides, in much the same sense as limonite is used for hydrous iron oxides.",,,consisting mainly of manganese oxides,,,is frequently used as a|The term,composite mixtures,,,,,,,,,,,,,,,,consisting mainly of,,,,,,,,,,,,
The fracture aperture,D.3 Property|D.3 Property|D.3 Property|E.2 Method,initial aperture|fracture aperture|calcium flux|function,The fracture aperture d (m) is a function in time of the initial aperture di (m) and the calcium flux rate F in a given fracture.,,,,,,is a,function,,,,,,,,,function in time of the initial aperture di ( m ) and the calcium flux rate F in a given fracture,,,,,,,,,,,,,,,,,,,
Knickpoints,B.2 Loss|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B. Process|D.1 Abiotic,sudden drop|water table|Knickpoints|waterfalls|changes|rapids,"Knickpoints are sudden changes in the gradient of a river ’ s long profile, such as rapids or waterfalls, and may form as a response to a sudden drop in the water table.",,,,,changes in the gradient of a river ’ s long profile,are,changes in the gradient,,may form as a response to a sudden drop in the water table,,,,,,,,,,rapids|waterfalls,,,may form as a response to,,,,,,,,,,,,,
room,D.3 Property|D.3 Property|D.3 Property|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.3 Property,irregular in shape|intersect|circular|rooms|passages|passage|room|oval,"A room is a type of passage that is wide relative to its length; rooms often form where passages intersect and are circular, oval, or irregular in shape.",,,,,,is a,passage,,,"are circular , oval , or irregular in shape",,where passages intersect,,,is wide relative to its length,,,,,,,,,,,in shape,,where,,,,,is wide,,
Pits,A.2 Underground landform|A.2 Underground landform,vadose passage|Pits,Pits are the ultimate form of vadose passage.,,,,,,are,vadose passage,,,form of vadose passage,,,,,,,,,,,,,,,,,,,,,,,,,
flute,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,cave passages|crested forms|flute,"The term flute has been used for the elongate, nearly parallel crested forms seen in some cave passages.",,,,,,has been used for|The term,parallel crested forms,,,"elongate , nearly parallel crested forms",,in some cave passages,,,,,,,,,,,,,,,,in,,,,,,,
fenglin,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,flat limestone surfaces|limestone towers|peaks|fenglin,"The fenglin is defined as limestone towers or peaks that are isolated from each other by flat limestone surfaces, which are generally covered by a thin layer of loose sediment.",,,limestone,,,is defined as,limestone towers or peaks,,,isolated from each other by flat limestone surfaces,,,,,,,,,,,,,,,,are isolated from,,,,,,,,,
Radiolocation,E.2 Method|E.2 Method,Radiolocation|technique,"Radiolocation is a technique to fix an underground point to the corresponding point on the surface, usually to find out where the extremities of a cave lie and reduce cumulative errors in the survey.",,,,,,is a,technique,,,,to find out where the extremities of a cave lie and reduce cumulative errors in the survey,,,,,fix an underground point to the corresponding point on the surface,,,,,,,,,,,to find out where,,,,,,,,
peak forest,D.1 Abiotic|C. Geome|D.1 Abiotic|C. Geome|C. Geome|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|C. Geome|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|C. Geome,residual hills|peak forest|bedrock base|peak cluster|tower karst|Turmkarst|tourelles|towers|pitons|fengcong|towers|haystacks|pepinos|mogotes|fenglin,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos.",,,,,,they are known as|is known as,tower karst,,,,,where groups of residual hills share a common exposed bedrock base|where towers are isolated,,,,,,,,,,,,,,,,where|where,,,,,,,
fenglin,D.1 Abiotic|C. Geome|D.1 Abiotic|C. Geome|C. Geome|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|C. Geome|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|C. Geome,residual hills|peak forest|bedrock base|peak cluster|tower karst|Turmkarst|tourelles|towers|pitons|fengcong|towers|haystacks|pepinos|mogotes|fenglin,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos.",,,,,,they are known as|is known as,tower karst,,,,,where groups of residual hills share a common exposed bedrock base|where towers are isolated,,,,,,,,,,,,,,,,where|where,,,,,,,
artificial underground reservoir,D.1 Abiotic|D.1 Abiotic|C. Geome,artificial underground reservoir|stored water|aquifer,An artificial underground reservoir is a portion of an aquifer that has been improved to control the discharge regime of artificially stored water.,,,,,,is a,portion of an aquifer,,,,to control the discharge regime of artificially stored water,,,,,,,,,,,,,,,,to control,,,,,,,,
Valleys,C. Geome|D.3 Property|A.1 Surface landform|A.1 Surface landform,polygonal karst|pitted|Valleys|dolines,"Valleys are a feature of most karst regions, the exceptions ‘ being areas of polygonal karst where the whole surface is pitted by dolines, although even here there may be vestiges of former valley networks.",,,areas of polygonal karst where the whole surface is pitted by dolines,,,are a,feature,,,,,of most karst regions,,,,,,,,,,,,,,,,of,,,,,,,
Pocket valleys,A.1 Surface landform|A.1 Surface landform,Pocket valleys|blind valleys,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas.",close to,,,,,are the reverse of,blind valleys,,,,,they occur in association with large springs close to the margins of karst areas,,,,,,,,,,,,,,,,,,,,,,,
steepheads,A.1 Surface landform|A.1 Surface landform,Pocket valleys|blind valleys,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas.",close to,,,,,are the reverse of,blind valleys,,,,,they occur in association with large springs close to the margins of karst areas,,,,,,,,,,,,,,,,,,,,,,,
dolines,D.1 Abiotic|C. Geome|A.1 Surface landform|A.1 Surface landform|D.3 Property,closed land surface depressions|karst environments|dolines|Sinkholes|drainage,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007).",,,,,,are,closed land surface depressions,,,closed,with internal drainage,typically formed in karst environments,,,,,,,,,,,,,,,with,formed in,,,,,,,
Sinkholes,D.1 Abiotic|C. Geome|A.1 Surface landform|A.1 Surface landform|D.3 Property,closed land surface depressions|karst environments|dolines|Sinkholes|drainage,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007).",,,,,,are,closed land surface depressions,,,closed,with internal drainage,typically formed in karst environments,,,,,,,,,,,,,,,with,formed in,,,,,,,
uvalas,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,karst depressions|uvalas|dolines,"In most references, uvalas are defined as karst depressions which are formed due to coalescence of several dolines.",,,,,,are defined as,karst depressions,,are formed due to coalescence of several dolines,,,,,,,,,,,,,formed due to,,,,,,,,,,,,,
Uvalas,D.1 Abiotic|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,undulating floors|doline|hollows|Uvalas,Uvalas are hollows with undulating floors made up of more than one doline.,,,made up of more than one doline,,,are,hollows,,,with undulating floors,,,,,,,,,,,,,made up of,,,with,,,,,,,,,
uvala,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,dry valleys|uvala|sinkholes|poljes,The term uvala is used in a variety of ways and is sometimes applied to youthful poljes or to dry valleys floored by sinkholes.,,,,,,is sometimes applied to|The term,,,,floored by sinkholes,,,,,,,,,youthful poljes|dry valleys,,,,,,,,,,,,,,,,
sinkhole,D.1 Abiotic|A.1 Surface landform,bottom|sinkhole,"A typical sinkhole is bowl shaped, with one or more low spots along its bottom.",,,,,,A typical|is,,,,with one or more low spots along its bottom|bowl shaped,,,,,,,,,,,,,,,,with,,,,,,,,,
Paleokarst,C. Geome|C. Geome|D.1 Abiotic,karst terrain|Paleokarst|sediments,Paleokarst is karst terrain that has been buried beneath younger sediments.,,,,,,is,karst terrain,,,,,has been buried beneath younger sediments,,,,,,,,,,,,,,,,beneath,,,,,,,
sedimentation and filtration basins,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,filtration basins|pollutants|sedimentation|Basins|sediments,Basins designed and maintained to filter sediments and pollutants are known as sedimentation and filtration basins.,,,,,,are known as,Basins,,,,designed and maintained to filter sediments and pollutants,,,,,,,,,,,,,,,,maintained to|designed,,,,,,,,
exokarstic storey,C. Geome|C. Geome,The exokarstic storey|karstosphere,The exokarstic storey represents the upper part of the karstosphere between the topographic surface and a depth of 0.5 to 7.0 km.,,,,,,represents,upper part of the karstosphere,,,,,between the topographic surface and a depth of 0.5 to 7.0 km|upper part of the karstosphere,,,,,,,,,,,,,,,,upper part of the|between the,,,,,,,
faults,C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.1 Movement,earth's crust|fractures|faults|rocks|movement,"In structural geology, faults are defined as fractures in the rocks of the earth's crust along which movement has occurred or still occurs (Davis & Reynolds 1996).",,,,,,are defined as,fractures,,,,,along which movement has occurred or still occurs|in the rocks of the earth's crust,,,,,,,,,,,,,,,,in the|along which,,,,,,,
Fission-track method,E.2 Method|E.2 Method|B.3 Addition,radiogenic method of age estimation|Fission-track method|accumulation,Fission-track method is a radiogenic method of age estimation based on accumulation of damage trails left by nuclei that are expelled during fission decays of 238U.,,,,,,is a,radiogenic method,,,,,,,,,based on accumulation of damage trails left by nuclei that are expelled during fission decays of 238U,,,,,,,,,,,,,based on,,,,,,
Flowstone,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate|Flowstone|minerals,"Flowstone is a general term referring to a deposit formed from thin films or trickles of water, the minerals are usually calcium carbonate and encrust floors or walls.",,,minerals are usually calcium carbonate,,,is a general term referring to,deposit,,formed from thin films or trickles of water,,,encrust floors or walls,,,,,,,,,,formed from,are usually,,,,,encrust,,,,,,,
fluviokarst,B. Process|D.1 Abiotic|C. Geome|C. Geome|A.1 Surface landform,subsurface conduit piracy|surface streams|karst landscape|fluviokarst|valleys,"The term fluviokarst is used to describe a karst landscape in which the dominant physical landforms are valleys initially cut by surface streams that have been partly or completely diverted underground by subsurface conduit piracy (Field, 2002a).",,,,the dominant physical landforms are valleys,,is used to describe,karst landscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kluftkarren,C. Geome|C. Geome|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,"karst system|epikarst ,|karstifiable rock|Kluftkarren|grikes|fissures","Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system.",,,,,,are,fissures of a karstifiable rock,,,visible surface expression of the fissures of a karstifiable rock,,are a significant component of the epikarst,,,,,,,,,,,,,,visible surface expression of,,are a significant component of the,,,,,,,
grikes,C. Geome|C. Geome|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,"karst system|epikarst ,|karstifiable rock|Kluftkarren|grikes|fissures","Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system.",,,,,,are,fissures of a karstifiable rock,,,visible surface expression of the fissures of a karstifiable rock,,are a significant component of the epikarst,,,,,,,,,,,,,,visible surface expression of,,are a significant component of the,,,,,,,
Hypogene karst,B.4 Transformation|D. Entity/Element/Property|C. Geome|A.2 Underground landform|D.1 Abiotic,formation of caves|hydrostatic pressure|Hypogene karst|caves|water,"Hypogene karst is defined as the formation of caves by water that recharges the soluble formation from below, driven by hydrostatic pressure or other sources of energy, independent of the recharge from the overlying or immediately adjacent surface (Ford, 2000). caves",,,,,,is defined as,the formation of caves,,"formation of caves by water that recharges the soluble formation from below ,|independent of the recharge from the overlying or immediately adjacent surface|driven by hydrostatic pressure or other sources of energy",,,,,,,,,,,,,driven by|independent of|by,,,,,,,,,,,,,
inphase component,D.3 Property|E.2 Method,amplitude of the secondary field|inphase component,The inphase component is defined as the amplitude of the secondary field at the point where the primary field amplitude peaks.,,,,,,is defined as,amplitude of the secondary field,,,,,,,,,at the point where the primary field amplitude peaks,,,,,,,,,,,,,,,,,,,
Karren,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|B.4 Transformation,dissolution features|rock|Karren|dissolution,Karren is a common term used for dissolution features on exposed soluble rock surfaces (Gines 2009). dissolution,,,,,,is a common term used for,dissolution features,,,,,on exposed soluble rock surfaces,,,,,,,,,,,,,,,,on,,,,,,,
Karren,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,solution channels|kluftkarren|Karren,"Karren range from 1 cm to 10 m in greatest dimension in most instances, although kluftkarren and some solution channels can be longer.",,,,,,,,,,,,,,,range from 1 cm to 10 m in greatest dimension,,,,,,,,,,,,,,,,,,range from,,
karst,B.4 Transformation|C. Geome|D.1 Abiotic|C. Geome|C. Geome|B. Process,process of interaction|Earth's surface|soluble rocks|underground|karst|process,"In the most general terms, karst may be defined as a process of interaction between soluble rocks and different waters, as a result of which characteristic features develop on the Earth's surface and underground. process",,,,,,may be defined as,process,,interaction between soluble rocks and different waters,,,,,as a result of which characteristic features develop on the Earth's surface and underground,,,,,,,,interaction between,,,,,,,,,,as a result of which,,,
